Angle (deg)	Energy (kcal/mol)
-40.0	20.418822548810567
-39.0	17.838838744341047
-38.0	15.475747185075306
-37.0	13.3194123571011
-36.0	11.360324029730691
-35.0	9.589474904729286
-34.0	7.998240970278857
-33.0	6.57827764988906
-32.0	5.321439798106439
-31.0	4.219726524075668
-30.0	3.2652459762684884
-29.0	2.4501920977272675
-28.0	1.7668257176628686
-27.0	1.2074533036793582
-26.0	0.7644095632640528
-25.0	0.4300160182901891
-24.0	0.19657117008318892
-23.0	0.056317912945814896
-22.0	0.0014291894331108779
-21.0	0.024000709236133844
-20.0	0.11605508428328903
-19.0	0.26955702480336186
-18.0	0.47643999953288585
-17.0	0.7286423260520678
-16.0	1.0181515685544582
-15.0	1.3370546726728207
-14.0	1.6775918056882801
-13.0	2.0322113842630642
-12.0	2.393624089068908
-11.0	2.7548539551135036
-10.0	3.1092842753059813
-9.0	3.4506968011628487
-8.0	3.7733034607590525
-7.0	4.071770407630538
-6.0	4.341237010172335
-5.0	4.577334021749266
-4.0	4.776207639195491
-3.0	4.9345572095990065
-2.0	5.04969429387711
-1.0	5.119605545492959
-0.0	5.143049047052045
1.0	5.119605545492959
2.0	5.04969429387711
3.0	4.9345572095990065
4.0	4.776207639195491
5.0	4.577334021749266
6.0	4.341237010172335
7.0	4.071770407630538
8.0	3.7733034607590525
9.0	3.4506968011628487
10.0	3.1092842753059813
11.0	2.7548539551135036
12.0	2.393624089068908
13.0	2.0322113842630642
14.0	1.6775918056882801
15.0	1.3370546726728207
16.0	1.0181515685544582
17.0	0.7286423260520678
18.0	0.47643999953288585
19.0	0.26955702480336186
20.0	0.11605508428328903
21.0	0.024000709236133844
22.0	0.0014291894331108779
23.0	0.056317912945814896
24.0	0.19657117008318892
25.0	0.4300160182901891
26.0	0.7644095632640528
27.0	1.2074533036793582
28.0	1.7668257176628686
29.0	2.4501920977272675
30.0	3.2652459762684884
31.0	4.219726524075668
32.0	5.321439798106439
33.0	6.57827764988906
34.0	7.998240970278857
35.0	9.589474904729286
36.0	11.360324029730691
37.0	13.3194123571011
38.0	15.475747185075306
39.0	17.838838744341047
40.0	20.418822548810567
