Angle (deg)	Energy (kcal/mol)
-40.0	21.462667641470034
-39.0	18.768036174908048
-38.0	16.297315862793766
-37.0	14.040685070045583
-36.0	11.988778595965414
-35.0	10.132602428806422
-34.0	8.463451379109756
-33.0	6.9728335100007826
-32.0	5.652406332206738
-31.0	4.493926709685184
-30.0	3.489212464672164
-29.0	2.6301106322716805
-28.0	1.9084704011911526
-27.0	1.316121752926847
-26.0	0.8448612398060504
-25.0	0.48644560823595384
-24.0	0.2325898765338934
-23.0	0.07496793424797943
-22.0	0.005216583296714816
-21.0	0.014945109236577991
-20.0	0.09575118138309335
-19.0	0.23924261919455603
-18.0	0.437063519791991
-17.0	0.6809238955320325
-16.0	0.9626336652290775
-15.0	1.2741416649951134
-14.0	1.6075798103047418
-13.0	1.9553109023763682
-12.0	2.3099769824402756
-11.0	2.6645456198384636
-10.0	3.012353274236375
-9.0	3.3471471033626585
-8.0	3.6631262002920266
-7.0	3.954981896611571
-6.0	4.217936091197771
-5.0	4.447774874555762
-4.0	4.640877168378211
-3.0	4.79423892358318
-2.0	4.905494555525365
-1.0	4.9729366329920595
-0.0	4.9956923561840085
1.0	4.9729366329920595
2.0	4.905494555525365
3.0	4.79423892358318
4.0	4.640877168378211
5.0	4.447774874555762
6.0	4.217936091197771
7.0	3.954981896611571
8.0	3.6631262002920266
9.0	3.3471471033626585
10.0	3.012353274236375
11.0	2.6645456198384636
12.0	2.3099769824402756
13.0	1.9553109023763682
14.0	1.6075798103047418
15.0	1.2741416649951134
16.0	0.9626336652290775
17.0	0.6809238955320325
18.0	0.437063519791991
19.0	0.23924261919455603
20.0	0.09575118138309335
21.0	0.014945109236577991
22.0	0.005216583296714816
23.0	0.07496793424797943
24.0	0.2325898765338934
25.0	0.48644560823595384
26.0	0.8448612398060504
27.0	1.316121752926847
28.0	1.9084704011911526
29.0	2.6301106322716805
30.0	3.489212464672164
31.0	4.493926709685184
32.0	5.652406332206738
33.0	6.9728335100007826
34.0	8.463451379109756
35.0	10.132602428806422
36.0	11.988778595965414
37.0	14.040685070045583
38.0	16.297315862793766
39.0	18.768036174908048
40.0	21.462667641470034
