Angle (deg)	Energy (kcal/mol)
-40.0	20.414629430611967
-39.0	17.804506032261997
-38.0	15.415473254739481
-37.0	13.237321557702671
-36.0	11.260441313243064
-35.0	9.475707259865885
-34.0	7.874365786614362
-33.0	6.447937241428008
-32.0	5.188140326863504
-31.0	4.086839080118807
-30.0	3.1360076995770214
-29.0	2.3277059393003583
-28.0	1.6540579484790214
-27.0	1.1072285285335965
-26.0	0.6794024248229107
-25.0	0.36274248905829154
-24.0	0.14937488570285495
-23.0	0.031356946390587837
-22.0	0.0006613597215618938
-21.0	0.0491691082570469
-20.0	0.16867405834636884
-19.0	0.35089938004966825
-18.0	0.5875251573816058
-17.0	0.8702258585544769
-16.0	1.1907158858157345
-15.0	1.5408011183681083
-14.0	1.9124341963834013
-13.0	2.297771206489415
-12.0	2.689227478840621
-11.0	3.0795303515333217
-10.0	3.4617670785883092
-9.0	3.8294265263539273
-8.0	4.176434009430523
-7.0	4.4971791161442525
-6.0	4.786541873887472
-5.0	5.039913157314004
-4.0	5.2532266519920086
-3.0	5.423001260955061
-2.0	5.546403565138462
-1.0	5.621317458244448
-0.0	5.64643619555136
1.0	5.621317458244448
2.0	5.546403565138462
3.0	5.423001260955061
4.0	5.2532266519920086
5.0	5.039913157314004
6.0	4.786541873887472
7.0	4.4971791161442525
8.0	4.176434009430523
9.0	3.8294265263539273
10.0	3.4617670785883092
11.0	3.0795303515333217
12.0	2.689227478840621
13.0	2.297771206489415
14.0	1.9124341963834013
15.0	1.5408011183681083
16.0	1.1907158858157345
17.0	0.8702258585544769
18.0	0.5875251573816058
19.0	0.35089938004966825
20.0	0.16867405834636884
21.0	0.0491691082570469
22.0	0.0006613597215618938
23.0	0.031356946390587837
24.0	0.14937488570285495
25.0	0.36274248905829154
26.0	0.6794024248229107
27.0	1.1072285285335965
28.0	1.6540579484790214
29.0	2.3277059393003583
30.0	3.1360076995770214
31.0	4.086839080118807
32.0	5.188140326863504
33.0	6.447937241428008
34.0	7.874365786614362
35.0	9.475707259865885
36.0	11.260441313243064
37.0	13.237321557702671
38.0	15.415473254739481
39.0	17.804506032261997
40.0	20.414629430611967
