Angle (deg)	Energy (kcal/mol)
-40.0	25.673580448390567
-39.0	22.598893402318936
-38.0	19.765497379979934
-37.0	17.163767717211158
-36.0	14.784481038339436
-35.0	12.61873316954734
-34.0	10.657866577384993
-33.0	8.89340603123128
-32.0	7.317000712930167
-31.0	5.9203729199725785
-30.0	4.695272631906846
-29.0	3.6334388507020776
-28.0	2.7265673438523663
-27.0	1.966285296046408
-26.0	1.3441323848892353
-25.0	0.8515477652690606
-24.0	0.47986282022611704
-23.0	0.22029890357225668
-22.0	0.06397033965913579
-21.0	0.0018923354728030972
-20.0	0.024994142906507477
-19.0	0.12413772503350629
-18.0	0.2901420203925227
-17.0	0.5138131264611729
-16.0	0.7859802022721851
-15.0	1.0975372326938668
-14.0	1.4394901822233805
-13.0	1.8030093179404503
-12.0	2.1794856463820906
-11.0	2.560591441964789
-10.0	2.9383431455207756
-9.0	3.305166247788293
-8.0	3.653960420990188
-7.0	3.9781642492380342
-6.0	4.271817479922902
-5.0	4.5296202782701585
-4.0	4.746987511978659
-3.0	4.920103216594725
-2.0	5.045934839756228
-1.0	5.1223126742988825
-0.0	5.147918932059838
1.0	5.1223126742988825
2.0	5.045934839756228
3.0	4.920103216594725
4.0	4.746987511978659
5.0	4.5296202782701585
6.0	4.271817479922902
7.0	3.9781642492380342
8.0	3.653960420990188
9.0	3.305166247788293
10.0	2.9383431455207756
11.0	2.560591441964789
12.0	2.1794856463820906
13.0	1.8030093179404503
14.0	1.4394901822233805
15.0	1.0975372326938668
16.0	0.7859802022721851
17.0	0.5138131264611729
18.0	0.2901420203925227
19.0	0.12413772503350629
20.0	0.024994142906507477
21.0	0.0018923354728030972
22.0	0.06397033965913579
23.0	0.22029890357225668
24.0	0.47986282022611704
25.0	0.8515477652690606
26.0	1.3441323848892353
27.0	1.966285296046408
28.0	2.7265673438523663
29.0	3.6334388507020776
30.0	4.695272631906846
31.0	5.9203729199725785
32.0	7.317000712930167
33.0	8.89340603123128
34.0	10.657866577384993
35.0	12.61873316954734
36.0	14.784481038339436
37.0	17.163767717211158
38.0	19.765497379979934
39.0	22.598893402318936
40.0	25.673580448390567
